
CCTV,#genre#
重庆少儿,http://219.153.252.50/PLTV/88888888/224/3221225646/chunklist.m3u8
新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2/index.m3u8
福州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
甘肃少儿,http://stream.gstv.com.cn/sepd/playlist.m3u8
深圳少儿,http://player.ioioz.com/1786/gd/szm3u8.php?id=7
大连少儿,http://player.ioioz.com/1786/ln/dalianm3u8.php?id=6
江西少儿,http://player.ioioz.com/1786/jx/jiangxim3u8.php?id=jxtv6
南京少儿,http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/flv:500k/live
云南少儿,http://yntvpullhls.ynradio.com/live/yunnanshaoer/playlist.m3u8
成都少儿,http://67.230.188.214/17/sc/chengdum3u8.php?rate=hd&id=6

NWTV,#genre#
冬奥纪实,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-beijingjishi/HD-8000k-1080P-beijingjishi
纪实人文,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-shanghaijishi/HD-8000k-1080P-shanghaijishi
金鹰纪实,http://39.130.215.222:6410/gitv_live/G_JINYINGJS-HD/G_JINYINGJS-HD.m3u8

黑莓电影,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-Supermovie/HD-8000k-1080P-Supermovie
黑莓动画,http://223.110.251.152:6610/cntv/live1/donghuawg/donghuawg
黑莓电竞,http://223.110.251.152:6610/cntv/live1/wmyx/wmyx    
NewTV古装剧场,http://223.110.251.152:6610/cntv/live1/guzhuangjc/guzhuangjc
NewTV动作电影,http://223.110.251.152:6610/cntv/live1/dongzuody/dongzuody
NewTV军旅剧场,http://223.110.251.152:6610/cntv/live1/junlvjc/junlvjc
NewTV家庭剧场,http://223.110.251.152:6610/cntv/live1/jiatingjc/jiatingjc
NewTV炫舞未来,http://223.110.251.152:6610/cntv/live1/HD-4000k-1080P-xwwl/HD-4000k-1080P-xwwl
NewTV惊悚悬疑,http://223.110.251.152:6610/cntv/live1/jingsongxy/jingsongxy
NewTV海外剧场,http://223.110.251.152:6610/cntv/live1/xiqumd/xiqumd
NewTV武搏世界,http://223.110.251.152:6610/cntv/live1/SD-1500k-576P-bokesen/SD-1500k-576P-bokesen
NewTV明星大片,http://223.110.251.152:6610/cntv/live1/mingxingdp/mingxingdp
NewTV爱情喜剧,http://223.110.251.152:6610/cntv/live1/aiqingxj/aiqingxj
